raw_value,count,type,canonical,country,notes
OSSC,30,club,Oval Speed Skating Club,US,manual
NCSA,20,club,Northern California Speed Skating Association,US,manual
Northbrook SSC,13,club,Northbrook Speedskating Club,US,manual
United Capital Blades Speedskating Club,12,club,United Capital Blades,US,manual
CAN-MRSSC,12,club,CAN-MRSSC,CAN,manual
OSS,12,club,Oval Speed Skating Club,US,manual
United Capital Blades SPeedskating,11,club,United Capital Blades,US,manual
USA-UCBSSC,11,club,United Capital Blades,US,manual
ARIZONA,11,club,ARIZONA,US,manual
SOCAL,10,club,Southern California Speed Skating Club,US,manual
EVD SSC,10,club,EVD Speed Skating Club,CHN,manual
Elmbrook School District Speedskating Club,8,club,Elmbrook Speedskating Club,US,manual
SoCal,8,club,Southern California Speed Skating Club,US,manual
Gateway SSC,7,club,Gateway Speedskating Club,US,manual
Park Ridge SSC,7,club,Park Ridge Speedskating,US,manual
Alkmaar/NED,7,club,Alkmaar,NED,manual
Franklin Park SSC,6,club,Franklin Park Speedskating Club,US,manual
CAN-NMSSC,6,club,CAN-NMSSC,CAN,manual
Wisconsin SSC,5,club,Wisconsin Speed Skating Club,US,manual
CAN-NSSC,5,club,CAN-NSSC,CAN,manual
Innsbruck/AUT,5,club,Innsbruck,AUT,manual
CHI,5,club,CHI,US,manual
Glen Ellyn SSC,4,club,Glen Ellyn Speedskating,US,manual
Speed Skating Club,4,junk,,,manual
USA-ESDSSC,4,club,USA-ESDSSC,US,manual
Changbaishan/CHN,4,club,Changbaishan,CHN,manual
Madison SSC,3,club,Madison Speed Skating Club,US,manual
DASH,3,club,DASH,US,manual
Full Throttle SST,3,club,Full Throttle Speedskating,US,manual
Roseville/USA,3,club,Roseville,US,manual
Arizona,3,club,Arizona,US,manual
United Capital Blades Speedskating,3,club,United Capital Blades,US,manual
West Michigan SSC,2,club,West Michigan Speedskating Club,US,manual
GS,2,junk,,,manual
Evergrand,2,club,EVD Speed Skating Club,CHN,manual
Glen Ellyn Speed Skating Club,2,club,Glen Ellyn Speedskating,US,manual
SSC,2,junk,,,manual
Pinnacle Speedskating Program,2,club,Pinnacle Speedskating,US,manual
Meadows,2,club,Flushing Meadows Speedskating Club,US,manual
EVDSS,2,club,EVD Speed Skating Club,CHN,manual
HUN-FTC,2,club,HUN-FTC,HUN,manual
CAN-LSSC,2,club,CAN-LSSC,CAN,manual
CAN-YSSC,2,club,CAN-YSSC,CAN,manual
Cambridge,2,club,Cambridge,GBR,manual
London,2,club,London,GBR,manual
N California,2,club,Northern California Speed Skating Association,US,manual
VSSC,2,club,VSSC,US,manual
Champaign Regional SSC,2,club,Champaign Regional Speedskating,US,manual
FVD,2,club,EVD Speed Skating Club,CHN,manual
Evergrande,1,club,EVD Speed Skating Club,CHN,manual
PC Speedskating,1,club,PC Speedskating,US,manual
(Mary Elizabeth) Cleveland Heights,1,club,Cleveland Heights Speedskating Club,US,rescued
Fresh Medow,1,club,Flushing Meadows Speedskating Club,US,manual
GASC,1,club,GASC,US,manual
Full Trottle,1,club,Full Throttle Speedskating,US,manual
Madison Sppedskating,1,club,Madison Speed Skating Club,US,manual
Oval Speedskating,1,club,Oval Speed Skating Club,US,manual
MSR,1,junk,,,manual
Potomac Speedskating Club,1,club,Potomac Speedskating,US,manual
Ellyn SSC,1,club,Glen Ellyn Speedskating,US,manual
Throttle,1,club,Full Throttle Speedskating,US,manual
Park Speed Skating Club,1,club,Park Ridge Speedskating,US,manual
Ellyn Speed Skating Club,1,club,Glen Ellyn Speedskating,US,manual
Regional Speedskating Club,1,club,Regional Speedskating Club,US,manual
Oval,1,club,Oval Speed Skating Club,US,manual
CAN-CPVMG,1,club,CAN-CPVMG,CAN,manual
CAN-OSSC,1,club,CAN-OSSC,CAN,manual
Oval Learn to Speed,1,club,Oval Speed Skating Club,US,manual
Paul Cleveland Heights,1,club,Cleveland Heights Speedskating Club,US,rescued
