canonical_name,abbreviation,csv_count,db_count,source
USA,USA,46,358,club_table
Potomac Speedskating,PSC/PTSC,114,93,club_table
Bay State Speedskating,BSS,88,84,club_table
Gateway Speedskating Club,GMS/GWSS,59,80,club_table
Garden State Speedskating,GSSC,68,67,club_table
Northbrook Speedskating Club,NBSSC,63,57,club_table
Direct (Unaffiliated),DIRECT,107,0,club_table
Danbury Speedskating,DSSC,51,55,club_table
Oval Speed Skating Club,OSC,44,60,club_table
Glen Ellyn Speedskating,GESS,35,47,club_table
East Penn Speedskating,EPSSC,31,51,club_table
Pinnacle Speedskating,PGS,0,81,club_table
Saratoga Winter Club,SWC,37,40,club_table
Lakewood Speedskating,LWSSC,34,39,club_table
Flushing Meadows Speedskating Club,FMSC,32,40,club_table
Champaign Regional Speedskating,CRS,36,36,club_table
JPN,JPN,2,70,club_table
Wisconsin Speed Skating Club,WSC,32,38,club_table
Syracuse Speedskating,SYSC,39,29,club_table
Elmbrook Speedskating Club,ESSC,24,39,club_table
Puget Sound Speedskating,PSSP/PSSSC,51,9,club_table
Buffalo Speedskating Club,BSC,27,31,club_table
United Capital Blades,UCB,17,39,club_table
Cleveland Heights Speedskating Club,CHS,26,26,club_table
Park Ridge Speedskating,PRSC,31,21,club_table
Midway Speedskating Club,MSC,33,15,club_table
Columbus Speedskating Club,COLSC,25,23,club_table
Connecticut Speedskating,CSSC,34,14,club_table
Southern California Speed Skating Club,SCSSC,16,30,club_table
Colorado Gold Speedskating,CGS,26,18,club_table
Full Throttle Speedskating,FTSST,19,22,club_table
Madison Speed Skating Club,MSSC,0,39,club_table
Northern California Speed Skating Association,NCSSA,19,19,club_table
USA-ASSC,ASSC,16,17,club_table
EVD Speed Skating Club,EVD,0,32,club_table
PNIC,PNIC,10,12,club_table
Wolverine Sports Club,WOLV,0,21,club_table
Pittsburgh Speedskating Club,PITTSSC,0,19,club_table
Franklin Park Speedskating Club,FPSSC,0,18,club_table
Rochester Speed Skating Team,RSST,9,7,club_table
Park City Speed Skating,PCSC,11,3,club_table
Los Angeles Regional Speedskating Club,LARSC,0,13,club_table
West Michigan Speedskating Club,WRSC,0,12,club_table
Great Atlantic Speedskating Club,GASSC,7,4,club_table
Dominion Speed Skating Club,BSSC,0,10,club_table
KOR,KOR,2,5,club_table
USA-UVSC,UVSC,6,0,club_table
Milton Speedskating Club,MILT,0,6,club_table
USA-CSSC,CSSC,0,5,club_table
USA-TSSC,TSSC,4,1,club_table
Taconic Speedskating,TACO,0,5,club_table
Upper Valley Speed Skating,UVSSC,0,5,club_table
St. Lawrence Speedskating,STLSSC,0,5,club_table
Timpanogos Speed Skating,TIMP,0,4,club_table
Jefferson City Speed Skating,JEFF,0,4,club_table
Pettit National Ice Center,PNIC,0,3,club_table
Phoenix Speed Skating,PHXSSC,0,3,club_table
Meteor Speed Skating Club,METE,0,3,club_table
Beijing Xingruibingxue Club,BXSC,0,3,club_table
Markham Speed Skating Club,MARK,0,3,club_table
Santa Clarita Speed Skating,SCSSC2,0,3,club_table
Australia,AUS,2,0,club_table
Switzerland,SUI,1,1,club_table
Germany,GER,1,1,club_table
Cornerstone Speedskating Club,CRSSC,0,2,club_table
USA-GWSS,GWSS,0,1,club_table
Chinese Taipei,TPE,1,0,club_table
Colombia,COL,1,0,club_table
Great Britain,GBR,1,0,club_table
Mile High Speedskating Club,MHSSC,1,0,club_table
Michigan Speedskating,MICH,0,1,club_table
Richmond Rockets Speed Skating,RRSC,0,1,club_table
Oakville Speed Skating Club,OASC,0,1,club_table
Illini Speed Skating,ILLINI,0,1,club_table
FAST Program,FASTP,0,1,club_table
Canada,CAN,0,0,club_table
USA-OSC,OSC,0,0,club_table
,WOSC,26,0,csv_only
,FPS,23,0,csv_only
,EBSSC,21,0,csv_only
