canonical_name,abbreviation,csv_count,db_count,source,full_club_name,duplicate_note
USA,USA,46,358,club_table,United States,
Potomac Speedskating,PSC/PTSC,114,93,club_table,Potomac Speedskating Club,
Bay State Speedskating,BSS,88,84,club_table,Bay State Speedskating,
Gateway Speedskating Club,GMS/GWSS,59,80,club_table,Gateway Speedskating Club,
Garden State Speedskating,GSSC,68,67,club_table,Garden State Speedskating,
Northbrook Speedskating Club,NBSSC,63,57,club_table,Northbrook Speedskating Club,
Direct (Unaffiliated),DIRECT,107,0,club_table,Direct / Unaffiliated,Duplicate of db-only Direct / Unaffiliated.
Danbury Speedskating,DSSC,51,55,club_table,Danbury Speedskating,
Oval Speed Skating Club,OSC,44,60,club_table,Oval Speed Skating Club,Duplicate abbreviation appears for Oval Speed Skating Club and USA-OSC.
Glen Ellyn Speedskating,GESS,35,47,club_table,Glen Ellyn Speedskating,
East Penn Speedskating,EPSSC,31,51,club_table,East Penn Speedskating,
Pinnacle Speedskating,PGS,0,81,club_table,Pinnacle Speedskating,"Ambiguous abbreviation: row says Pinnacle Speedskating, but Puget Sound event protocols also use PGS for Puget Sound Speedskating Club."
Saratoga Winter Club,SWC,37,40,club_table,Saratoga Winter Club,
Lakewood Speedskating,LWSSC,34,39,club_table,Lakewood Speedskating,
Flushing Meadows Speedskating Club,FMSC,32,40,club_table,Flushing Meadows Speedskating Club,
Champaign Regional Speedskating,CRS,36,36,club_table,Champaign Regional Speedskating,
JPN,JPN,2,70,club_table,Japan,
Wisconsin Speed Skating Club,WSC,32,38,club_table,Wisconsin Speed Skating Club,
Syracuse Speedskating,SYSC,39,29,club_table,Syracuse Speedskating,
Elmbrook Speedskating Club,ESSC,24,39,club_table,Elmbrook Speedskating Club,Likely duplicate if EBSSC is present: Elmbrook Speedskating Club.
Puget Sound Speedskating,PSSP/PSSSC,51,9,club_table,Puget Sound Speedskating Club,Likely duplicate of PSSC/PSS: Puget Sound Speedskating Club.
Buffalo Speedskating Club,BSC,27,31,club_table,Buffalo Speedskating Club,
United Capital Blades,UCB,17,39,club_table,United Capital Blades Speedskating Club,
Cleveland Heights Speedskating Club,CHS,26,26,club_table,Cleveland Heights Speedskating Club,
Park Ridge Speedskating,PRSC,31,21,club_table,Park Ridge Speedskating Club,
Midway Speedskating Club,MSC,33,15,club_table,Midway Speedskating Club,Likely duplicate if MWSS is present: Midway Speedskating Club.
