canonical_name,abbreviation,csv_count,db_count,source,full_club_name,city,state_province,country,location_note,duplicate_note
USA,USA,46,358,club_table,United States,,,United States,"Country/team code row, not a club.",
Potomac Speedskating,PSC/PTSC,114,93,club_table,Potomac Speedskating Club,,MD,United States,"Club is Maryland-based; event pages also show races at Prince William Ice Center in Woodbridge, VA.",
Bay State Speedskating,BSS,88,84,club_table,Bay State Speedskating,Walpole / Wellesley,MA,United States,US Speedskating event pages list Walpole and Wellesley venues.,
Gateway Speedskating Club,GMS/GWSS,59,80,club_table,Gateway Speedskating Club,St. Louis,MO,United States,,
Garden State Speedskating,GSSC,68,67,club_table,Garden State Speedskating,South Brunswick,NJ,United States,Often races at ProSkate Ice Arena in South Brunswick.,
Northbrook Speedskating Club,NBSSC,63,57,club_table,Northbrook Speedskating Club,Northbrook,IL,United States,,
Direct (Unaffiliated),DIRECT,107,0,club_table,Direct / Unaffiliated,,,,"Unaffiliated skater/team row, not a club location.",Duplicate of db-only Direct / Unaffiliated.
Danbury Speedskating,DSSC,51,55,club_table,Danbury Speedskating,Danbury,CT,United States,,
Oval Speed Skating Club,OSC,44,60,club_table,Oval Speed Skating Club,Roseville,MN,United States,,Duplicate abbreviation appears for Oval Speed Skating Club and USA-OSC.
Glen Ellyn Speedskating,GESS,35,47,club_table,Glen Ellyn Speedskating,Glen Ellyn,IL,United States,,
East Penn Speedskating,EPSSC,31,51,club_table,East Penn Speedskating,Lehigh Valley,PA,United States,Regional club; exact home rink not verified.,
Pinnacle Speedskating,PGS,0,81,club_table,Pinnacle Speedskating,Milwaukee / West Allis,WI,United States,Exact training rink not verified; associated with Wisconsin/Pettit-area skating.,"Ambiguous abbreviation: row says Pinnacle Speedskating, but Puget Sound event protocols also use PGS for Puget Sound Speedskating Club."
Saratoga Winter Club,SWC,37,40,club_table,Saratoga Winter Club,Saratoga Springs,NY,United States,,
Lakewood Speedskating,LWSSC,34,39,club_table,Lakewood Speedskating,Lakewood,OH,United States,,
Flushing Meadows Speedskating Club,FMSC,32,40,club_table,Flushing Meadows Speedskating Club,Queens,NY,United States,,
Champaign Regional Speedskating,CRS,36,36,club_table,Champaign Regional Speedskating,Champaign,IL,United States,,
JPN,JPN,2,70,club_table,Japan,,,Japan,"Country/team code row, not a club.",
Wisconsin Speed Skating Club,WSC,32,38,club_table,Wisconsin Speed Skating Club,Milwaukee / West Allis,WI,United States,,
Syracuse Speedskating,SYSC,39,29,club_table,Syracuse Speedskating,Syracuse,NY,United States,,
Elmbrook Speedskating Club,ESSC,24,39,club_table,Elmbrook Speedskating Club,Brookfield,WI,United States,,Likely duplicate if EBSSC is present: Elmbrook Speedskating Club.
Puget Sound Speedskating,PSSP/PSSSC,51,9,club_table,Puget Sound Speedskating Club,Tacoma / Seattle,WA,United States,Regional club; exact home rink not verified.,Likely duplicate of PSSC/PSS: Puget Sound Speedskating Club.
Buffalo Speedskating Club,BSC,27,31,club_table,Buffalo Speedskating Club,Buffalo,NY,United States,,
United Capital Blades,UCB,17,39,club_table,United Capital Blades Speedskating Club,,MD,United States,Maryland/DC-area club; exact city/rink not verified.,
Cleveland Heights Speedskating Club,CHS,26,26,club_table,Cleveland Heights Speedskating Club,Cleveland Heights,OH,United States,,
Park Ridge Speedskating,PRSC,31,21,club_table,Park Ridge Speedskating Club,Park Ridge,IL,United States,,
Midway Speedskating Club,MSC,33,15,club_table,Midway Speedskating Club,St. Paul / Roseville,MN,United States,,Likely duplicate if MWSS is present: Midway Speedskating Club.
