club_name,skater_count,normalized_club,abbreviation
Direct,59,Direct (Unaffiliated),DIRECT
Gateway,45,Gateway Speedskating Club,GMS/GWSS
Northbrook,44,Northbrook Speedskating Club,NBSSC
PGS,44,Pinnacle Speedskating,PGS
USA-BSS,43,Bay State Speedskating,BSS
USA-PTSC,43,Potomac Speedskating,PSC/PTSC
Potomac,42,Potomac Speedskating,PSC/PTSC
USA-GSSC,39,Garden State Speedskating,GSSC
Bay State Speedskating,33,Bay State Speedskating,BSS
Oval Speed,32,Oval Speed Skating Club,OSC
Speed Skating Club,32,Speedskating Club,
Madison,31,Madison Speed Skating Club,MSSC
Garden State Speedskating,29,Garden State Speedskating,GSSC
Speedskating Club,29,Speedskating Club,
USA-DSSC,29,Danbury Speedskating,DSSC
USA-SWC,29,Saratoga Winter Club,SWC
CAN,28,Canada,CAN
Danbury Speedskating,27,Danbury Speedskating,DSSC
Glen Ellyn,27,Glen Ellyn Speedskating,GESS
USA-PSSP,27,Puget Sound Speedskating,PSSP/PSSSC
Potomac SPeedskating,26,Potomac Speedskating,PSC/PTSC
Pinnacle,25,Pinnacle Speedskating,PGS
USA-FMSC,23,Flushing Meadows Speedskating Club,FMSC
USA-EPSSC,22,East Penn Speedskating,EPSSC
Lakewood,21,Lakewood Speedskating,LWSSC
Wisconsin,21,Wisconsin Speed Skating Club,WSC
Danbury,20,Danbury Speedskating,DSSC
USA-SYSC,20,Syracuse Speedskating,SYSC
Midway Speedskating,19,Midway Speedskating Club,MSC
USA-BSC,19,Buffalo Speedskating Club,BSC
USA-UCBSSC,19,United Capital Blades,UCB
Buffalo,18,Buffalo Speedskating Club,BSC
Champaign,18,Champaign Regional Speedskating,CRS
Cleveland Heights,18,Cleveland Heights Speedskating Club,CHS
USA-PSC,18,Potomac Speedskating,PSC/PTSC
Wolverine,18,Wolverine,
Flushing Meadows Speedskating,17,Flushing Meadows Speedskating Club,FMSC
Full Throttle,17,Full Throttle Speedskating,FTSST
USA-ASSC,17,USA-ASSC,ASSC
USA-LWSSC,17,Lakewood Speedskating,LWSSC
USA-CHS,16,Cleveland Heights Speedskating Club,CHS
Garden State,15,Garden State Speedskating,GSSC
Park Ridge,15,Park Ridge Speedskating,PRSC
Bay State SPeedskating,14,Bay State Speedskating,BSS
CAN-MRSSC,14,Canada,CAN
Columbus,14,Columbus Speedskating Club,COLSC
East Penn SPeedskating,14,East Penn Speedskating,EPSSC
Elmbrook,14,Elmbrook Speedskating Club,ESSC
Gateway Speedskating Club,14,Gateway Speedskating Club,GMS/GWSS
Speedskating,14,Generic Speedskating Club,
USA-NBSSC,14,Northbrook Speedskating Club,NBSSC
Colorado Gold,13,Colorado Gold Speedskating,CGS
USA-ESSC,13,Elmbrook Speedskating Club,ESSC
United Capital Blades,13,United Capital Blades,UCB
East Penn,12,East Penn Speedskating,EPSSC
PNIC,12,PNIC,PNIC
United Capital Blades Speedskating Club,12,United Capital Blades,UCB
Bay State,11,Bay State Speedskating,BSS
Champaign Regional,11,Champaign Regional Speedskating,CRS
Connecticut Speedskating,11,Connecticut Speedskating,CSSC
Saratoga,11,Saratoga Winter Club,SWC
Syracuse,11,Syracuse Speedskating,SYSC
United Capital Blades SPeedskating,11,United Capital Blades,UCB
Wisconsin Speed Skating Club,11,Wisconsin Speed Skating Club,WSC
Dominion,10,Dominion,
Ellyn,10,Glen Ellyn Speedskating,GESS
Franklin Park,10,Franklin Park Speedskating Club,
Pittsburgh,10,Pittsburgh Speedskating Club,
Saratoga Winter Club,10,Saratoga Winter Club,SWC
West Michigan,10,Michigan Speedskating,
JPN,9,JPN,JPN
LARSC,9,Larsc,
Northern California,8,Northern California Speed Skating Association,NCSSA
OSSC,8,Oval Speed Skating Club,OSC
SSC,8,SSC,
State,8,State,
State Speedskating,8,State Speedskating,
USA-PNIC,8,Pettit National Ice Center,PNIC
CAN-MSSC,7,Canada,CAN
Pittsburgh SPeedskating,7,Pittsburgh Speedskating Club,
USA-CSSC,7,USA-CSSC,CSSC
CAN-NMSSC,6,Canada,CAN
CAN-NSSC,6,Canada,CAN
EVD Speed Skating Club,6,EVD Speedskating Club,
Flushing Meadows Speed Skating Club,6,Flushing Meadows Speedskating Club,FMSC
Park,6,Park,
Rochester,6,Rochester Speed Skating Team,RSST
School District Speedskating Club,6,School District Speedskating Club,
TCL,6,TCL,
Throttle,6,Full Throttle Speedskating,FTSST
USA-ESDSSC,6,USA-ESDSSC,
USA-OSC,6,USA-OSC,OSC
Glen Ellyn Speed Skating,5,Glen Ellyn Speedskating,GESS
Markham,5,Markham,
Meadows Speedskating,5,Meadows Speedskating,
NCA,5,NCA,
Northbrook SSC,5,Northbrook Speedskating Club,NBSSC
POC,5,POC,
Puget Sound,5,Puget Sound Speedskating,PSSP/PSSSC
Speed,5,Speed,
St. Lawrence,5,St. Lawrence,
Taconic Speedskating,5,Taconic Speedskating,
USA-FTSST,5,Full Throttle Speedskating,FTSST
Upper Valley Speed Skating,5,Upper Valley Speedskating,
EVD,4,EVD,
EVDSS,4,Evdss,
Flushing Meadows,4,Flushing Meadows Speedskating Club,FMSC
Franklin Park SSC,4,Franklin Park Speedskating Club,
Gateway SSC,4,Gateway Speedskating Club,GMS/GWSS
Jefferson City,4,Jefferson City,
Milton,4,Milton,
Northbrook Speed Skating Club,4,Northbrook Speedskating Club,NBSSC
Park Ridge SSC,4,Park Ridge Speedskating,PRSC
Potomac Speedskating,4,Potomac Speedskating,PSC/PTSC
Ridge,4,Ridge,
Santa Clarita,4,Santa Clarita,
Speedskating Program,4,Speedskating Program,
Syracuse Speed Skating,4,Syracuse Speedskating,SYSC
USA-COLSC,4,Columbus Speedskating Club,COLSC
USA-GMS,4,Gateway Speedskating Club,GMS/GWSS
USA-GWSS,4,USA-GWSS,GWSS
Wisconsin SSC,4,Wisconsin Speed Skating Club,WSC
AUS,3,Australia,AUS
Beijing Xingruibingxue Club,3,Beijing Xingruibingxue Club,
DASH,3,DASH,
Elmbrook School District Speedskating Club,3,Elmbrook Speedskating Club,ESSC
Great Atlantic Speedskating,3,Great Atlantic Speedskating Club,GASSC
Heights,3,Cleveland Heights Speedskating Club,CHS
MTV,3,MTV,
Meadows,3,Meadows,
Meteor,3,Meteor,
Michigan,3,Michigan Speedskating,
Milton Speed Skating Club,3,Milton Speedskating Club,
PCSSC,3,Pcssc,
Park City,3,Park City,
Penn,3,Penn,
Phoenix,3,Phoenix,
RRK,3,RRK,
USA-DIRECT,3,Direct (Unaffiliated),DIRECT
USA-TSSC,3,USA-TSSC,TSSC
USA-UVSC,3,USA-UVSC,UVSC
CAN-LSSC,2,Canada,CAN
CAN-OSSC,2,Canada,CAN
CAN-TSSC,2,Canada,CAN
Cambridge,2,Cambridge,
Cornerstone Speedskating Club,2,Cornerstone Speedskating Club,
East Penn Speedskating,2,East Penn Speedskating,EPSSC
Ellyn Speed Skating,2,Glen Ellyn Speedskating,GESS
Evergrand,2,Evergrand,
Full Trottle,2,Full Trottle,
GS,2,GS,
Glen Ellyn SSC,2,Glen Ellyn Speedskating,GESS
Glen Ellyn Speed Skating Club,2,Glen Ellyn Speedskating,GESS
LTSS,2,LTSS,
London,2,London,
Madison Speed Skating Club,2,Madison Speed Skating Club,MSSC
Regional,2,Regional,
Regional SSC,2,Regional SSC,
Regional Speedskating,2,Regional Speedskating,
Sound,2,Sound,
Sports Club,2,Sports Club,
TPE,2,Chinese Taipei,TPE
Timpanogos,2,Timpanogos,
USA,2,USA,USA
USA-CBSSC,2,USA-CBSSC,
USA-CRS,2,Champaign Regional Speedskating,CRS
USA-RSST,2,Rochester Speed Skating Team,RSST
USA-UCB,2,United Capital Blades,UCB
USA-WSC,2,Wisconsin Speed Skating Club,WSC
VNC,2,VNC,
WTC,2,WTC,
Wolverine Sports Club,2,Wolverine Sports Club,
(Mary Elizabeth) Cleveland Heights,1,Cleveland Heights Speedskating Club,CHS
1. Direct 0:43.834,1,Direct (Unaffiliated),DIRECT
1. Direct 0:45.907,1,Direct (Unaffiliated),DIRECT
1. Direct 0:49.296,1,Direct (Unaffiliated),DIRECT
108.00,1,108.00,
512.00,1,Unknown/Invalid Data,
640.00,1,Unknown/Invalid Data,
AUS 1:20.879,1,Australia,AUS
AUS 2:38.973,1,Australia,AUS
Alec,1,Alec,
"BC,CAN 1:33.598",1,Canada,CAN
"BC,CAN 2:34.428",1,Canada,CAN
"BC,CAN 2:47.921",1,Canada,CAN
BUR,1,BUR,
Bay State Speedskating 0:36.110,1,Bay State Speedskating,BSS
Bay State Speedskating 1:22.050,1,Bay State Speedskating,BSS
Bay State Speedskating 1:43.830,1,Bay State Speedskating,BSS
Bay State Speedskating 2:02.360,1,Bay State Speedskating,BSS
Bay State Speedskating 2:02.700,1,Bay State Speedskating,BSS
Bay State Speedskating 2:05.420,1,Bay State Speedskating,BSS
Bay State Speedskating 2:09.550,1,Bay State Speedskating,BSS
Bay State Speedskating 2:18.770,1,Bay State Speedskating,BSS
Bay State Speedskating 3:29.480,1,Bay State Speedskating,BSS
Buffalo Speedskating Club,1,Buffalo Speedskating Club,BSC
CAN 0:46.095,1,Canada,CAN
CAN 1:20.374,1,Canada,CAN
CAN-CPVMG,1,Canada,CAN
CAN-YSSC,1,Canada,CAN
CHE 2:44.982,1,Switzerland,SUI
COL,1,Colombia,COL
COL 1:32.242,1,Colombia,COL
CZE,1,Czech Republic,
CZE 2:17.819,1,Czech Republic,
CZE 2:32.989,1,Czech Republic,
CZE 2:37.216,1,Czech Republic,
California,1,California,
Capital Blades,1,United Capital Blades,UCB
Capital Blades Speedskating,1,Capital Blades Speedskating,
Champaign Regional Speedskating,1,Champaign Regional Speedskating,CRS
City,1,City,
City Speed Skating Club,1,City Speedskating Club,
Cleveland Heights 1:10.580,1,Cleveland Heights Speedskating Club,CHS
Cleveland Heights 1:57.260,1,Cleveland Heights Speedskating Club,CHS
Cleveland Heights SPeedskating,1,Cleveland Heights Speedskating Club,CHS
Colorado Gold Speedskating 0:51.249,1,Colorado Gold Speedskating,CGS
Columbus 0:54.770,1,Columbus Speedskating Club,COLSC
Columbus 1:00.510,1,Columbus Speedskating Club,COLSC
Columbus 1:01.850,1,Columbus Speedskating Club,COLSC
Columbus 1:09.130,1,Columbus Speedskating Club,COLSC
Columbus 1:10.760,1,Columbus Speedskating Club,COLSC
Columbus 1:12.540,1,Columbus Speedskating Club,COLSC
Columbus 1:18.230,1,Columbus Speedskating Club,COLSC
Columbus 2:04.550,1,Columbus Speedskating Club,COLSC
Columbus 2:29.630,1,Columbus Speedskating Club,COLSC
Columbus 2:51.950,1,Columbus Speedskating Club,COLSC
Columbus 3:10.360,1,Columbus Speedskating Club,COLSC
Columbus Speedskating Club,1,Columbus Speedskating Club,COLSC
Connecticut,1,Connecticut Speedskating,CSSC
Connecticut Speedskating 0:37.800,1,Connecticut Speedskating,CSSC
DIR,1,Direct (Unaffiliated),DIRECT
Ellyn SSC,1,Glen Ellyn Speedskating,GESS
Ellyn Speed Skating Club,1,Glen Ellyn Speedskating,GESS
Elmbrook 0:42.850,1,Elmbrook Speedskating Club,ESSC
Elmbrook Speed Skating Club,1,Elmbrook Speedskating Club,ESSC
Elmbrook Speedskating Club,1,Elmbrook Speedskating Club,ESSC
Evergrande,1,Evergrande,
FAST Program,1,FAST Program,
Flushing,1,Flushing Meadows Speedskating Club,FMSC
Franklin Park Speed Skating Club,1,Franklin Park Speedskating Club,
Fresh Medow,1,Flushing Meadows Speedskating Club,FMSC
Full Throttle Speed Skating,1,Full Throttle Speedskating,FTSST
GASC,1,Great Atlantic Speedskating Club,GASSC
GBR 2:14.301,1,Great Britain,GBR
GBR 2:15.792,1,Great Britain,GBR
GBR 2:17.980,1,Great Britain,GBR
GBR 2:32.234,1,Great Britain,GBR
GBR 2:33.097,1,Great Britain,GBR
GBR 2:36.503,1,Great Britain,GBR
GBR 2:46.668,1,Great Britain,GBR
Garden State Speedskating 1:51.610,1,Garden State Speedskating,GSSC
Garden State Speedskating 1:58.040,1,Garden State Speedskating,GSSC
Great Atlantic Speedskating 1:52.670,1,Great Atlantic Speedskating Club,GASSC
HUN,1,HUN,
HUN-FTC,1,Hun-Ftc,
Heights Speedskating,1,Heights Speedskating,
INA 2:46.979,1,INA,
IND,1,IND,
Illini Speed,1,Illini Speed,
KOR,1,KOR,KOR
Kyle Flushing Meadows,1,Flushing Meadows Speedskating Club,FMSC
Lakewood 0:54.520,1,Lakewood Speedskating,LWSSC
Lakewood 1:03.070,1,Lakewood Speedskating,LWSSC
Lakewood 1:03.700,1,Lakewood Speedskating,LWSSC
Lakewood 1:05.010,1,Lakewood Speedskating,LWSSC
Lakewood 1:13.260,1,Lakewood Speedskating,LWSSC
Lakewood 1:45.820,1,Lakewood Speedskating,LWSSC
Lakewood 1:59.080,1,Lakewood Speedskating,LWSSC
Lakewood 2:07.200,1,Lakewood Speedskating,LWSSC
Lakewood 2:07.370,1,Lakewood Speedskating,LWSSC
Lakewood 2:13.020,1,Lakewood Speedskating,LWSSC
Lakewood SPeedskating,1,Lakewood Speedskating,LWSSC
MSR,1,MSR,
MSSC,1,MSSC,
Madison 1:31.280,1,Madison Speed Skating Club,MSSC
Madison SSC,1,Madison Speed Skating Club,MSSC
Madison Sppedskating,1,Madison Speed Skating Club,MSSC
Meteor Speed Skating Club,1,Meteor Speedskating Club,
Michigan Speedskating,1,Michigan Speedskating,
Midway,1,Midway Speedskating Club,MSC
Mixed 2:13.400,1,Mixed Relay/Unaffiliated,
Mixed 2:15.980,1,Mixed Relay/Unaffiliated,
Mixed 2:26.980,1,Mixed Relay/Unaffiliated,
Mixed 3:34.360,1,Mixed Relay/Unaffiliated,
Mixed 3:37.100,1,Mixed Relay/Unaffiliated,
Mixed 3:41.600,1,Mixed Relay/Unaffiliated,
Mixed 3:48.860,1,Mixed Relay/Unaffiliated,
Mixed 3:55.470,1,Mixed Relay/Unaffiliated,
Mixed 3:58.420,1,Mixed Relay/Unaffiliated,
Mixed 4:02.750,1,Mixed Relay/Unaffiliated,
Mixed 4:03.450,1,Mixed Relay/Unaffiliated,
Mixed 4:16.260,1,Mixed Relay/Unaffiliated,
Mixed 5:08.860,1,Mixed Relay/Unaffiliated,
Mixed 5:20.750,1,Mixed Relay/Unaffiliated,
NZL,1,New Zealand,
Northbrook 1:44.100,1,Northbrook Speedskating Club,NBSSC
Northbrook 1:58.180,1,Northbrook Speedskating Club,NBSSC
Northbrook Speedskating Club,1,Northbrook Speedskating Club,NBSSC
Northbrook speedskating club,1,Northbrook Speedskating Club,NBSSC
OSSC 1:17.498,1,Oval Speed Skating Club,OSC
Oakville,1,Oakville Speed Skating Club,
Oval,1,Oval Speed Skating Club,OSC
Oval Learn to Speed,1,Oval Speed Skating Club,OSC
Oval Learn to Speed 0:59.046,1,Oval Speed Skating Club,OSC
Oval Speedskating,1,Oval Speed Skating Club,OSC
PC Speedskating,1,PC Speedskating,
PNV,1,PNV,
Park Speed Skating Club,1,Park Speedskating Club,
Park Speedskating Club,1,Park Speedskating Club,
Paul Cleveland Heights,1,Cleveland Heights Speedskating Club,CHS
Penn Speedskating,1,East Penn Speedskating,EPSSC
Pinnacle Speedskating Program,1,Pinnacle Speedskating,PGS
Pittsburgh Speedskating Club,1,Pittsburgh Speedskating Club,
Potomac Speedskating Club,1,Potomac Speedskating,PSC/PTSC
Regional Speedskating Club,1,Regional Speedskating Club,
Richmond Rockets,1,Richmond Rockets,
SGP 2:41.215,1,Singapore,
SGP 2:42.036,1,Singapore,
SGP 2:55.333,1,Singapore,
SRF,1,SRF,
ST,1,ST,
SWITZERLAND,1,Switzerland,SUI
Saratoga Winter,1,Saratoga Winter Club,SWC
Saratoga Winter Club 0:36.250,1,Saratoga Winter Club,SWC
Sppedskating,1,Generic Speedskating Club,
TPE 1:20.979,1,Chinese Taipei,TPE
TPE 1:32.074,1,Chinese Taipei,TPE
TPE 2:24.680,1,Chinese Taipei,TPE
TPE 2:35.807,1,Chinese Taipei,TPE
TPE 2:38.006,1,Chinese Taipei,TPE
TPE 2:38.600,1,Chinese Taipei,TPE
TPE 2:41.114,1,Chinese Taipei,TPE
TPE 2:44.258,1,Chinese Taipei,TPE
TPE 2:47.477,1,Chinese Taipei,TPE
Throttle Speed Skating,1,Full Throttle Speedskating,FTSST
Throttle Speedskating,1,Full Throttle Speedskating,FTSST
Trottle,1,Full Throttle Speedskating,FTSST
UCB,1,United Capital Blades,UCB
UK,1,Great Britain,GBR
USA-CGS,1,Colorado Gold Speedskating,CGS
USA-GASSC,1,Great Atlantic Speedskating Club,GASSC
USA-GER,1,Germany,GER
USA-MHSSC,1,Mile High Speedskating Club,MHSSC
USA-MSC,1,Midway Speedskating Club,MSC
USA-NCS,1,USA-NCS,
USA-NCSSA,1,Northern California Speed Skating Association,NCSSA
UV,1,UV,
United Capital,1,United Capital Blades,UCB
WSSC 1:27.260,1,Wisconsin Speed Skating Club,WSC
West Michigan Speedskating,1,Michigan Speedskating,
Winter,1,Winter,
Winter Club,1,Winter Club,
heights,1,Cleveland Heights Speedskating Club,CHS
speedskating club,1,Speedskating club,
