id,season,event_name,event_group,event_date,series
171,2018-2019,2019 Amcup 3 Short Track,AmCup / World Cup,,National
172,2018-2019,2019 Age Group Nationals Short Track,Age Group Nationals,,National
173,2018-2019,2019 Cheese Cup & Heartland #5,Cheese Cup,,Heartland
174,2018-2019,2019 US Marathon & World Open Marathon,US Marathon,,National
175,2018-2019,2019 Santa Clarita Sprints,Santa Clarita Sprints,,West Coast
176,2018-2019,2019 MASA ST Championships & NEST #6,MASA Championships,,NEST
177,2018-2019,2019 Land of Lincoln & Heartland #6,Land of Lincoln,,Heartland
178,2018-2019,2019 Ohio State Championships,Ohio State Meet,,Heartland
179,2018-2019,2019 St. Louis Silver Skates,Chicago Silver Skates,10/27/2018,Midwest
180,2018-2019,2019 California State Championships,California Championships,,West Coast
181,2018-2019,2019 Presidential Cup & NEXT #5,Presidential Cup,,NEST
182,2018-2019,2019 NorthBurke ST Open,Northbrook Open,,Midwest
183,2018-2019,2019 Empire State Games Short Track,Empire State Games,,Heartland
184,2018-2019,2019 Southern California Championships,California Championships,,West Coast
185,2018-2019,2019 Northern California Championships,California Championships,,West Coast
186,2018-2019,50th Gateway Championships,Gateway Championships,,Midwest
187,2018-2019,2019 International Children's Winter Games,International Children Winter Games,,International
188,2018-2019,2019 Gold Cup,WSA Gold Cup,,Midwest
189,2018-2019,2019 Winter Challenge Short Track,Winter Challenge,,Midwest
190,2018-2019,2019 US Championships Short Track & AmCup 2,US Championships,,National
191,2018-2019,2019 January Thaw & NEST #3,January Thaw,,NEST
192,2018-2019,Central Wisconsin Open,Central Wisconsin Open,,Midwest
193,2018-2019,2019 US Junior Championships Short Track,US Junior Championships,,National
194,2018-2019,2018 Santa Claus Championships,Santa Claus Championships,,West Coast
195,2018-2019,2018 Jeff Golz Memorial  Ohio Invitational & Heartland #3,Ohio Invitational,,Heartland
196,2018-2019,2018 Capital City Championships,Capital City Championships,,Midwest
197,2018-2019,I-94 Sprints,I-94 Sprints,,Midwest
198,2018-2019,2018 Bay State Championships & NEST #2,Bay State Championships,,NEST
199,2018-2019,2018 Franklin Park Barrel Buster,Franklin Park Barrel Buster,,Midwest
200,2018-2019,2018 Park Ridge Open,Park Ridge Open,,Midwest
201,2018-2019,2018 Thanksgiving Championships,Thanksgiving Championships,,Other
202,2018-2019,2018 Saratoga Cup & NEST #1,Saratoga Cup,,NEST
203,2018-2019,2018 Great Lakes Short Track,Great Lakes,,Heartland
204,2018-2019,2018 Buffalo Championships & Heartland #1,Buffalo Championships,,Heartland
205,2018-2019,2018 SoCal Memorial Championships,California Championships,,West Coast
206,2018-2019,2018 AmCup 1 ST & Fall WC Qualifier,AmCup / World Cup,,National
207,2018-2019,2018 Desert Classic Short Track,Desert Classic,,West Coast
146,2019-2020,2020 Middle Atlantic ST Championships & NEST #6,MASA Championships,,NEST
147,2019-2020,2020 St. Louis Silver Skates,St. Louis Silver Skates,,Midwest
148,2019-2020,2020 Ohio State Championships,Ohio State Meet,,Heartland
149,2019-2020,2020 Land of Lincoln & Heartland #5,Land of Lincoln,,Heartland
