event_id,season,pdf_format,pdf_filename,division,distance_m,round,skater_name,time_text,time_seconds,flag
116,2022-2023,llm,104th_Silver_Skate_Results.pdf,SweeTango's,1000,Distance Classification,O. Guo,02:01.320,58.21,TIME_IMPOSSIBLE
116,2022-2023,llm,104th_Silver_Skate_Results.pdf,SweeTango's,1000,Distance Classification,A. Endo,02:03.550,58.77,TIME_IMPOSSIBLE
116,2022-2023,llm,104th_Silver_Skate_Results.pdf,SweeTango's,1000,Distance Classification,I. Martinez-Mohabir,02:00.890,58.8,TIME_IMPOSSIBLE
116,2022-2023,llm,104th_Silver_Skate_Results.pdf,SweeTango's,1000,Distance Classification,E. Mech,02:04.170,59.11,TIME_IMPOSSIBLE
116,2022-2023,llm,104th_Silver_Skate_Results.pdf,SweeTango's,1000,Distance Classification,S. Tian,02:17.360,59.41,TIME_IMPOSSIBLE
116,2022-2023,llm,104th_Silver_Skate_Results.pdf,SweeTango's,1000,Distance Classification,H. Lin,02:17.630,59.82,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles' 111,111,Distance Classification,Emeric Iberle,00:20.7,20.67,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles' 111,111,Distance Classification,Evan Xu,00:20.9,20.92,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles' 111,111,Distance Classification,Jaydon Dong,00:21.7,21.7,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles' 111,111,Distance Classification,Iliana Elagina,00:23.6,23.58,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles' 111,111,Distance Classification,Ellen Chen,00:23.6,23.61,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles' 111,111,Distance Classification,Claire Chen,00:23.8,23.76,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles' 111,111,Distance Classification,Liora Foster,00:24.2,24.18,TIME_IMPOSSIBLE
195,2018-2019,llm,2019_Jeff_Golz_complete.pdf,Heartland Series Event #3,500,,Owen Rodgers,31.14,31.14,TIME_IMPOSSIBLE
195,2018-2019,llm,2019_Jeff_Golz_complete.pdf,Heartland Series Event #3,500,,Aiden Bregitzer,32.13,32.13,TIME_IMPOSSIBLE
195,2018-2019,llm,2019_Jeff_Golz_complete.pdf,Heartland Series Event #3,500,,Shane Miller,32.51,32.51,TIME_IMPOSSIBLE
195,2018-2019,llm,2019_Jeff_Golz_complete.pdf,Heartland Series Event #3,500,,Ian Fischer,33.2,33.2,TIME_IMPOSSIBLE
195,2018-2019,llm,2019_Jeff_Golz_complete.pdf,Heartland Series Eve,1000,Final B,Isabella Chen,01:08.9,68.91,TIME_IMPOSSIBLE
195,2018-2019,llm,2019_Jeff_Golz_complete.pdf,Heartland Series Eve,1000,Final B,Frank Stump,01:16.1,76.14,TIME_IMPOSSIBLE
191,2018-2019,llm,2019_January_Thaw_and_NEST_3_complete.pdf,NEST,500,Heats,Lucas Li,21.86,21.86,TIME_IMPOSSIBLE
191,2018-2019,llm,2019_January_Thaw_and_NEST_3_complete.pdf,NEST,500,Heats,Milo Ventura,22.86,22.86,TIME_IMPOSSIBLE
191,2018-2019,llm,2019_January_Thaw_and_NEST_3_complete.pdf,NEST,500,Heats,Serena Ventura,23.85,23.85,TIME_IMPOSSIBLE
191,2018-2019,llm,2019_January_Thaw_and_NEST_3_complete.pdf,NEST,500,Heats,Crystal Wu,25.14,25.14,TIME_IMPOSSIBLE
191,2018-2019,llm,2019_January_Thaw_and_NEST_3_complete.pdf,NEST,500,Heats,Flicka Chen,25.95,25.95,TIME_IMPOSSIBLE
191,2018-2019,llm,2019_January_Thaw_and_NEST_3_complete.pdf,NEST,500,Heats,Fiona Chen,26.6,26.6,TIME_IMPOSSIBLE
191,2018-2019,llm,2019_January_Thaw_and_NEST_3_complete.pdf,NEST,500,Heats,Siru Huang,26.82,26.82,TIME_IMPOSSIBLE
160,2019-2020,llm,2019_Ohio_Invitational_complete.pdf,Heartland Men,1000,Final C,Ethan Lam,33.45,33.45,TIME_IMPOSSIBLE
160,2019-2020,llm,2019_Ohio_Invitational_complete.pdf,Heartland Men,1000,Final B,David Chun,37.24,37.24,TIME_IMPOSSIBLE
160,2019-2020,llm,2019_Ohio_Invitational_complete.pdf,Heartland Men,1000,Final C,Zayda Greczkowski,40.54,40.54,TIME_IMPOSSIBLE
160,2019-2020,llm,2019_Ohio_Invitational_complete.pdf,Heartland Men,1000,Final C,John Paul Manning,48.96,48.96,TIME_IMPOSSIBLE
160,2019-2020,llm,2019_Ohio_Invitational_complete.pdf,Heartland Men,1000,Final B,Gabriel Shoykhet,01:01.1,61.13,TIME_IMPOSSIBLE
160,2019-2020,llm,2019_Ohio_Invitational_complete.pdf,Heartland Men,1000,Final C,Kosuke Tomori-Carrier,01:08.4,68.39,TIME_IMPOSSIBLE
160,2019-2020,llm,2019_Ohio_Invitational_complete.pdf,Heartland Men,1000,Final C,Kento Taniguchi,01:09.3,69.34,TIME_IMPOSSIBLE
160,2019-2020,llm,2019_Ohio_Invitational_complete.pdf,Heartland Men,1000,Final C,Shane Miller,01:09.5,69.51,TIME_IMPOSSIBLE
193,2018-2019,llm,2019_US_Jun_Championships_STAmCup_3_complete.pdf,A/B Men,1000,Point Totals,Austin Kleba,01:16.3,76.34,TIME_IMPOSSIBLE
193,2018-2019,llm,2019_US_Jun_Championships_STAmCup_3_complete.pdf,Junior Men,1000,Time Classification,Austin Kleba,01:16.3,76.34,TIME_IMPOSSIBLE
193,2018-2019,llm,2019_US_Jun_Championships_STAmCup_3_complete.pdf,A/B Men,1000,Point Totals,Ethan Cepuran,01:17.2,77.17,TIME_IMPOSSIBLE
193,2018-2019,llm,2019_US_Jun_Championships_STAmCup_3_complete.pdf,Junior Men,1000,Time Classification,Ethan Cepuran,01:17.2,77.17,TIME_IMPOSSIBLE
131,2021-2022,llm,Bay_State_Results_2021.pdf,Bay State Short Track,1000,,Joyce Tong,58.11,58.11,TIME_IMPOSSIBLE
131,2021-2022,llm,Bay_State_Results_2021.pdf,Bay State Short Track,1000,,Therese Sowa,58.14,58.14,TIME_IMPOSSIBLE
131,2021-2022,llm,Bay_State_Results_2021.pdf,Bay State Short Track,1000,,Robert Tolliver,01:01.2,61.23,TIME_IMPOSSIBLE
131,2021-2022,llm,Bay_State_Results_2021.pdf,Bay State Short Track,1000,,Hayden Peck,01:01.3,61.32,TIME_IMPOSSIBLE
131,2021-2022,llm,Bay_State_Results_2021.pdf,Bay State Short Track,1000,,Abner Machuca,01:09.4,69.41,TIME_IMPOSSIBLE
137,2021-2022,tempus_results,Buffalo_Championships_overall.pdf,DIVISION 6 Heartland Men A,500,Race 140 FINAL A Heat 3 Group C,Sowa Therese,00:12.0,11.96,TIME_IMPOSSIBLE
137,2021-2022,tempus_results,Buffalo_Championships_overall.pdf,DIVISION 2 Heartland Men B,500,HEATS,Sowa Therese,00:12.1,12.1,TIME_IMPOSSIBLE
137,2021-2022,tempus_results,Buffalo_Championships_overall.pdf,DIVISION 8 Bills,500,Race 139 FINAL Heat 2 Group B,Mendoza Jace,00:12.4,12.36,TIME_IMPOSSIBLE
137,2021-2022,tempus_results,Buffalo_Championships_overall.pdf,DIVISION 2 Heartland Men B,500,HEATS,WU Julia,00:12.5,12.51,TIME_IMPOSSIBLE
