event_id,season,pdf_format,pdf_filename,division,distance_m,round,skater_name,time_text,time_seconds,flag
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles,111,,Evan Xu,00:20.9,20.92,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles,111,,Jaydon Dong,00:21.7,21.7,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles,111,,Iliana Elagina,00:23.6,23.58,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles,111,,Ellen Chen,00:23.6,23.61,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles,111,,Claire Chen,00:23.8,23.76,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles,111,,Liora Foster,00:24.2,24.18,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles,111,Distance Classification,Emeric Iberle,00:20.7,20.67,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles,111,Distance Classification,Evan Xu,00:20.9,20.92,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles,111,Distance Classification,Jaydon Dong,00:21.7,21.7,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles,111,Distance Classification,Ellen Chen,00:23.6,23.61,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles,111,Distance Classification,Iliana Elagina,00:23.6,23.58,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles,111,Distance Classification,Liora Foster,00:24.2,24.18,TIME_IMPOSSIBLE
62,2024-2025,llm,2024_Chicago_Silver_Skates_Results.pdf,Skittles,111,Distance Classification,Claire Chen,00:23.8,23.76,TIME_IMPOSSIBLE
78,2023-2024,llm,2024_January_Thaw_Protocal_Report.pdf,Novice B,111,B Final,Charles Han,00:17.5,17.48,TIME_IMPOSSIBLE
78,2023-2024,llm,2024_January_Thaw_Protocal_Report.pdf,Novice B,111,B Final,Ada Cao,00:18.9,18.91,TIME_IMPOSSIBLE
78,2023-2024,llm,2024_January_Thaw_Protocal_Report.pdf,Novice B,111,B Final,Penelope Cattell,00:19.1,19.12,TIME_IMPOSSIBLE
78,2023-2024,llm,2024_January_Thaw_Protocal_Report.pdf,Novice B,111,B Final,Eason He,00:20.2,20.19,TIME_IMPOSSIBLE
78,2023-2024,llm,2024_January_Thaw_Protocal_Report.pdf,Novice B,111,B Final,Chuyi Liao,00:22.6,22.62,TIME_IMPOSSIBLE
78,2023-2024,llm,2024_January_Thaw_Protocal_Report.pdf,Novice B,111,B Final,Rosaline Wang,00:23.4,23.44,TIME_IMPOSSIBLE
78,2023-2024,llm,2024_January_Thaw_Protocal_Report.pdf,Novice B,111,A Final,Alan Han,00:16.5,16.51,TIME_IMPOSSIBLE
78,2023-2024,llm,2024_January_Thaw_Protocal_Report.pdf,Novice B,111,A Final,Sam Firer,00:16.9,16.94,TIME_IMPOSSIBLE
78,2023-2024,llm,2024_January_Thaw_Protocal_Report.pdf,Novice B,111,A Final,Ethan Lee,00:17.5,17.51,TIME_IMPOSSIBLE
78,2023-2024,llm,2024_January_Thaw_Protocal_Report.pdf,Novice B,111,A Final,Zoey Hoffman,00:17.7,17.72,TIME_IMPOSSIBLE
78,2023-2024,llm,2024_January_Thaw_Protocal_Report.pdf,Novice B,111,A Final,Luca Sakhnovskiy,00:18.7,18.72,TIME_IMPOSSIBLE
97,2022-2023,llm,2023_MASTC_Overall_Classification_and_Time_Classification.pdf,,222,,Nicholas Clark,00:30.0,30,TIME_IMPOSSIBLE
97,2022-2023,llm,2023_MASTC_Overall_Classification_and_Time_Classification.pdf,,222,,Derick Chang,00:30.4,30.38,TIME_IMPOSSIBLE
97,2022-2023,llm,2023_MASTC_Overall_Classification_and_Time_Classification.pdf,,222,,Joshua Wade,00:32.7,32.66,TIME_IMPOSSIBLE
97,2022-2023,llm,2023_MASTC_Overall_Classification_and_Time_Classification.pdf,,222,,Sam Lister,00:34.6,34.55,TIME_IMPOSSIBLE
97,2022-2023,llm,2023_MASTC_Overall_Classification_and_Time_Classification.pdf,,222,,Giacomo Barbone,00:35.6,35.57,TIME_IMPOSSIBLE
97,2022-2023,llm,2023_MASTC_Overall_Classification_and_Time_Classification.pdf,,500,,Nicholas Clark,01:07.1,67.06,TIME_IMPOSSIBLE
97,2022-2023,llm,2023_MASTC_Overall_Classification_and_Time_Classification.pdf,,500,,Derick Chang,01:07.7,67.71,TIME_IMPOSSIBLE
116,2022-2023,llm,104th_Silver_Skate_Results.pdf,SweeTango's,500,Distance Classification,O. Guo,00:58.2,58.21,TIME_IMPOSSIBLE
123,2021-2022,legacy,Michigan_State_Meet_combined.pdf,NEST Ladies,1000,,Allison Benstead,,136.97,TIME_IMPOSSIBLE
160,2019-2020,llm,2019_Ohio_Invitational_complete.pdf,Bizarro,500,Final B,Gabriel Shoykhet,01:01.1,61.13,TIME_IMPOSSIBLE
