id,event_id,division,distance_m,rank,bib,skater_name,best_time_text,best_time_seconds,page_number,affiliation,club_id,skater_id
,128,NEST Women,1500,1,106,Isabella Chen,2:33.540,153.54,,,,89
,128,NEST Women,1500,2,124,Sofia Koons,2:35.270,155.27,,,,9
,128,NEST Women,1500,3,110,Makayla Chou,2:37.120,157.12,,,,109
,128,NEST Women,1500,4,115,Kassandra Haeupl,2:37.950,157.95,,,,1113
,128,NEST Women,1500,5,102,Diana Bickmore,2:38.090,158.09,,,,90
,128,NEST Women,1500,6,141,Tiffany Zhang,2:38.250,158.25,,,,207
,128,NEST Women,1500,7,130,Sasha Mensah,2:38.400,158.4,,,,23
,128,NEST Women,1500,8,137,Therese Sowa,2:40.460,160.46,,,,226
,128,NEST Women,1500,9,113,Sarah Girach,2:46.510,166.51,,,,34
,128,NEST Women,1500,10,131,Tatyana Pometun,2:46.910,166.91,,,,60
,128,NEST Women,1500,11,111,Sara Cushman,2:54.290,174.29,,,,37
,128,NEST Women,1500,12,101,Nagi Aitbayeva,2:54.590,174.59,,,,314
,128,NEST Women,500,1,106,Isabella Chen,0:46.410,46.41,,,,89
,128,NEST Women,500,2,110,Makayla Chou,0:46.730,46.73,,,,109
,128,NEST Women,500,3,124,Sofia Koons,0:48.730,48.73,,,,9
,128,NEST Women,500,4,141,Tiffany Zhang,0:48.980,48.98,,,,207
,128,NEST Women,500,5,130,Sasha Mensah,0:49.690,49.69,,,,23
,128,NEST Women,500,6,115,Kassandra Haeupl,0:51.620,51.62,,,,1113
,128,NEST Women,500,7,137,Therese Sowa,0:51.960,51.96,,,,226
,128,NEST Women,500,8,131,Tatyana Pometun,0:52.410,52.41,,,,60
,128,NEST Women,500,9,102,Diana Bickmore,0:52.980,52.98,,,,90
,128,NEST Women,500,10,113,Sarah Girach,0:55.190,55.19,,,,34
,128,NEST Women,500,11,101,Nagi Aitbayeva,0:56.010,56.01,,,,314
,128,NEST Women,500,12,111,Sara Cushman,0:57.870,57.87,,,,37
,128,NEST Women,1000,1,106,Isabella Chen,1:42.850,102.85,,,,89
,128,NEST Women,1000,2,124,Sofia Koons,1:44.230,104.23,,,,9
,128,NEST Women,1000,3,110,Makayla Chou,1:45.730,105.73,,,,109
,128,NEST Women,1000,4,115,Kassandra Haeupl,1:48.160,108.16,,,,1113
,128,NEST Women,1000,5,131,Tatyana Pometun,1:48.730,108.73,,,,60
,128,NEST Women,1000,6,102,Diana Bickmore,1:50.340,110.34,,,,90
,128,NEST Women,1000,7,130,Sasha Mensah,1:50.520,110.52,,,,23
,128,NEST Women,1000,8,113,Sarah Girach,1:53.380,113.38,,,,34
,128,NEST Women,1000,9,101,Nagi Aitbayeva,1:54.580,114.58,,,,314
,128,NEST Women,1000,10,111,Sara Cushman,1:55.640,115.64,,,,37
,128,NEST Women,1000,11,137,Therese Sowa,2:01.260,121.26,,,,226
,128,NEST Women,1000,12,141,Tiffany Zhang,2:12.560,132.56,,,,207
,128,NEST Men,1500,1,182,Ethan Lin,2:37.190,157.19,,,,69
,128,NEST Men,1500,2,213,Robert Tolliver,2:37.520,157.52,,,,36
,128,NEST Men,1500,3,200,Gabriel Rillotta,2:39.090,159.09,,,,33
,128,NEST Men,1500,4,209,Frederick Sowa,2:39.620,159.62,,,,160
,128,NEST Men,1500,5,223,Lucas Wu,2:40.210,160.21,,,,58
,128,NEST Men,1500,6,145,Xavier Babkine-Osterrath,2:40.580,160.58,,,,121
