Event,division,distance,level,# race,
1,D man,1000,Heat,3,
2,Group 1 Master Women,1500,Heat,2,
3,Group 1 Master Man,1500,Heat,3,
4,Group 2 Master Men,1500,Heat,2,
5,D woman,1000,Heat,2,
6,D man,1000,semi final,3,"2 headers, 601 has a separate header"
7,C woman,1500,Heat,2,
8,C man,1500,Heat,3,
9,Combined Women,1500,Heat,2,
10,Combined Men,1500,Heat,3,
11,Group 1 Master Women,1500,Final,2,
12,Group 1 Master Man,1500,Final,3,
13,Group 2 Master Men,1500,Final,2,
14,,,,,
15,D woman,1000,Final,2,
16,D man,1000,Final,3,
17,,,,,
18,C woman,1500,Final,2,
19,C man,1500,Final,3,
20,Combined Women,1500,Final,2,
21,Combined Men,1500,Final,3,
22,D man,500,Heat,3,
23,C man,500,Heat,4,
24,Combined Men,500,Heat,5,
25,Group 1 Master Women,500,Heat,2,
26,Group 1 Master Man,500,Heat,3,
27,Group 2 Master Men,500,Heat,2,
28,D woman,500,Heat,2,
29,D man,500,semi final,3,2 headers
30,C woman,500,Heat,2,
31,C man,500,semi final,4,2 headers
32,Combined Women,500,Heat,2,
33,Combined Men,500,semi final,4,2 headers
34,,,,,
35,Group 1 Master Women,500,Final,2,
36,Group 1 Master Man,500,Final,3,
37,Group 2 Master Men,500,Final,2,
38,D woman,500,Final,2,
39,D man,500,Final,3,
40,C woman,500,Final,2,
41,C man,500,Final,4,
42,Combined Women,500,Final,3,
43,Combined Men,500,Final,4,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,D man,777,Heat,3,
50,C man,1000,Heat,4,
51,Combined Men,1000,Heat,4,
52,Group 1 Master Women,1000,Heat,2,
53,Group 1 Master Man,1000,Heat,3,
54,Group 2 Master Men,1000,Heat,2,
55,D woman,777,Heat,2,
56,D man,777,semi final,3,
57,C woman,1000,Heat,2,
58,C man,1000,semi final,4,2 headers
59,Combined Women,1000,Heat,2,
60,Combined Men,1000,Heat,4,
61,Group 1 Master Women,1000,Final,2,
62,Group 1 Master Man,1000,Final,3,
63,Group 2 Master Men,1000,Final,2,
64,,,,,
65,D woman,777,Final,2,
66,D man,777,Final,3,
67,,,,,
68,C woman,1000,Final,2,
69,C man,1000,Final,4,
70,Combined Women,1000,Final,3,
71,Combined Men,1000,Final,4,
