Name,Member,gender
MURPHY Aidan,NBSSC,M
ABDELLA Elijah,BSC,M
ABDO Vincent,DIRECT,M
ABRAMOVICH James,FMSC,M
ABRAMS Clayton,BSS,M
ACEVES  Fabian,NBSSC,M
ACEVES Fabian,PRSC,M
AFFHOLTER Michael,WSC,M
AGALOOS Jegudiel,WOSC,M
ALAVI Giovanni,PTSC,M
ALDER Daryl,GSSC,M
ALLISON Robert,SCSSC,M
ANCELET Jack,WSC,M
ANDREWS Ian,PTSC,M
ANGLIN Richard,DSSC,M
AQUINO Jon Ricardo,GESS,M
ARMITAGE Toby,DSSC,M
ASCARI Luca,PSC,M
ATKINSON Richard,DIRECT,M
AU James,SCSSC,M
AULET Alexander,CSSC,M
AUSTIN John,PRSC,M
AUSTIN Johnny,GESS,M
AYHAN Immanuel,PTSC,M
BABKINE-OSTERRATH XAVIER,DSSC,M
BAE Ilchan,PTSC,M
BAGOSY David,CSSC,M
BALBO Joe,LWSSC,M
BANCHS Alejandro,SWC,M
BANCHS Antonio,SWC,M
BANCHS Francisco,SWC,M
BANTZ Douglas,NBSSC,M
BARAN Sean,LWSSC,M
BARATS Ari,NBSSC,M
BARBER Caden,MWSS,M
BARBONE Giacomo,UCB,M
BARD Joel,BSS,M
BASS Benjamin,NBSSC,M
BAUER Alexander,BSC,M
BAUTISTA Xavier,PHSSC,M
BEALL Finnegan,PHSSC,M
BEDNAR Martin,BSS,M
BENSON Jack,BSS,M
BERGSTROM Charles,MSC,M
BEVANS JR C Carvel,DIRECT,M
BEVERIDGE Nathaniel,PSC,M
BI William,PTSC,M
BI. William,PTSC,M
BIEDENBENDER Liam,NBSSC,M
BINGMAN Kai Lemech,MSC,M
BISHOP Jacob,BSC,M
BLAKE Stephen,LWSSC,M
BOBB Kevin,PRSC,M
BOBB Luke,NBSSC,M
BONANTI Grayson,UCB,M
BORBAT Maxim,DSSC,M
BORDINI Alex,PRSC,M
BOSCO Narayan,ASSC,M
BOUDREAU Brian,PCSC,M
BOUILLON  Robert,BSS,M
BOYD Tristan,CGS,M
BRADY Cole,FMSC,M
BRANDLEY Maxwell,PSC,M
BRAUN Gerard,UCB,M
BRAUN Jackson,NBSSC,M
BRAUNBERGER Kristopher,OSC,M
BRIMLEY Paul,OSC,M
BRIMLEY Sawyer,OSC,M
BROGAN Jaxon,EPSSC,M
BROUGHTON Brady,OSC,M
BROWN Alex,SWC,M
BROWN Drake,SWC,M
BROWN Duree,FTSST,M
BROWN Jonah,SWC,M
BROWN Thomas,WMSSC,M
BRUNER Alexander,GWSS,M
BUDZ Alexsander,DIRECT,M
BUDZ Lukasz,GESS,M
BUDZ Maksymilian,GESS,M
BURDEKIN Mikey,FTSST,M
BUTLER Daniel,BSS,M
CAI Leo,USA,M
CAI William,DIRECT,M
