club_id,full_name,primary_abbreviation,city,state_province,country,type,usa_skater_count
1,Alaska Speedskating Club,ASSC,Anchorage,AK,United States,club,19
2,Alkmaar Speed Skating,Alkmaar,Alkmaar,,Netherlands,club,0
3,Arizona Inline Skating Association,AZIS,,AZ,United States,club,1
4,Bay State Speedskating,BSS,Walpole / Wellesley,MA,United States,club,88
5,Beijing Xingruibingxue Club,BXSC,Beijing,,China,club,0
6,Buffalo Speedskating Club,BSC,Buffalo,NY,United States,club,27
7,Burnaby Speed Skating Club,BUR,Burnaby,BC,Canada,club,0
8,CPV Montreal-Gadbois,CPVMG,Montreal,QC,Canada,club,0
9,Central Wisconsin Speed Skating Club,CWSSC,,WI,United States,club,3
10,Champaign Regional Speedskating,CRS,Champaign,IL,United States,club,36
11,Changbaishan Speed Skating,Changbaishan,Changbaishan,Jilin,China,club,0
12,Cleveland Heights Speedskating Club,CHS,Cleveland Heights,OH,United States,club,26
13,Colorado Gold Speedskating,CGS,,CO,United States,club,26
14,Columbus Speedskating Club,COLSC,Columbus,OH,United States,club,25
15,Connecticut Speedskating,CSSC,,CT,United States,club,34
16,Cornerstone Skating Club,CRSSC,De Pere,WI,United States,club,0
17,DASH Speedskating,DASH,,,United States,club,0
18,Danbury Speedskating,DSSC,Danbury,CT,United States,club,51
19,Dominion Speedskating Club,BSSC,,VA,United States,club,0
20,EVD Speed Skating Club,EVD,,,China,club,0
21,East Penn Speedskating,EPSSC,Lehigh Valley,PA,United States,club,31
22,Elmbrook Speedskating Club,ESSC,Brookfield,WI,United States,club,45
23,FAST Program,FASTP,,,United States,club,0
24,Flushing Meadows Speedskating Club,FMSC,Queens,NY,United States,club,32
25,Franklin Park Speedskating Club,FPSSC,Franklin Park,IL,United States,club,23
26,Full Throttle Speedskating,FTSST,,IN,United States,club,19
27,Garden State Speedskating,GSSC,South Brunswick,NJ,United States,club,68
28,Gateway Speedskating Club,GWSS,St. Louis,MO,United States,club,59
29,Glen Ellyn Speedskating,GESS,Glen Ellyn,IL,United States,club,35
30,Great Atlantic Speedskating Club,GASSC,Portland,ME,United States,club,7
31,Illini Speed Skating,ILLINI,Champaign / Urbana,IL,United States,club,0
32,Innsbruck Speed Skating,Innsbruck,Innsbruck,Tyrol,Austria,club,0
33,Jefferson City Speedskating,JCS,Jefferson City,MO,United States,club,2
34,L2 Speed Skating,L2SS,,,,club,0
35,Lake Placid Speed Skating Club,LPSSC,Lake Placid,NY,United States,club,0
36,Lakewood Speedskating,LWSSC,Lakewood,OH,United States,club,34
37,Langley Blades Speed Skating Club,ANG,Langley,BC,Canada,club,0
38,Learn to Speed Skate,LTSS,,,,club,0
39,London Speed Skating Club,LSSC,London,ON,Canada,club,0
40,Los Angeles Regional Speedskating Club,LARSC,Los Angeles,CA,United States,club,0
41,Madison Speed Skating Club,MSSC,Madison,WI,United States,club,0
42,Maple Ridge Speed Skating Club,MRSSC,Maple Ridge,BC,Canada,club,0
43,Markham Speed Skating Club,MARK,Markham,ON,Canada,club,0
44,Matsqui Blades Speed Skating Club,MTB,Abbotsford,BC,Canada,club,0
45,Meteor Speed Skating Club,METE,North York / Thornhill,ON,Canada,club,0
46,Michigan Speedskating,MICH,,MI,United States,club,0
47,Midway Speedskating Club,MSC,St. Paul / Roseville,MN,United States,club,47
48,Mile High Speedskating Club,MHSSC,Denver,CO,United States,club,1
49,Milton Speedskating Club,MILT,Milton,ON,Canada,club,0
50,Mountain View Speedskating,MTV,,BC,Canada,club,0
51,Nepean Speed Skating Club,NSSC,Ottawa / Nepean,ON,Canada,club,0
52,Newmarket Speed Skating Club,NMSSC,Newmarket,ON,Canada,club,0
53,Northbrook Speedskating Club,NBSSC,Northbrook,IL,United States,club,63
54,Northern California Speed Skating Association,NCSSA,,CA,United States,club,19
55,Oakville Speed Skating Club,OASC,Oakville,ON,Canada,club,0
56,Ottawa Speed Skating Club,OSSC,Ottawa,ON,Canada,club,0
57,Oval Speed Skating Club,OSC,Roseville,MN,United States,club,44
