season,series,event_group,event_year,link_text,event_name,track_type,event_date,local_path,pdf_format
2018-2019,West Coast,Desert Classic,2018,2018 Desert Classic Short Track,2018 Desert Classic Short Track,short,8/25/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2018_Desert_Classic_ST.pdf,legacy
2018-2019,National,AmCup / World Cup,2018,2018 AmCup 1 ST & Fall WC Qualifier,2018 AmCup 1 ST & Fall WC Qualifier,short,10/7/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2019_USS_ST_AmCup_1_complete.pdf,llm
2018-2019,West Coast,California Championships,2018,2018 SoCal Memorial Championships,2018 SoCal Memorial Championships,short,10/11/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2018_SoCal_Memorial_Championships_-_Final_Results.pdf,llm
2018-2019,Heartland,Buffalo Championships,2018,2018 Buffalo Championships & Heartland #1,2018 Buffalo Championships & Heartland #1,short,10/20/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2018_BuffaloCH_complete.pdf,classic_results
2018-2019,Midwest,Chicago Silver Skates,2019,2019 St. Louis Silver Skates,2019 St. Louis Silver Skates,short,10/27/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2018_Silver_Skates_Protocol_combined.pdf,legacy
2018-2019,Heartland,Great Lakes,2018,2018 Great Lakes Short Track,2018 Great Lakes Short Track,short,10/27/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2018_GLST_Protocol_complete.pdf,legacy
2018-2019,NEST,Saratoga Cup,2018,2018 Saratoga Cup & NEST #1,2018 Saratoga Cup & NEST #1,short,11/3/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2018_Saratoga_Cup_and_NEST_1.pdf,legacy
2018-2019,Other,Thanksgiving Championships,2018,2018 Thanksgiving Championships,2018 Thanksgiving Championships,short,11/8/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2018_Thanksgiving_Championships_-_Final.pdf,llm
2018-2019,Midwest,Park Ridge Open,2018,2018 Park Ridge Open,2018 Park Ridge Open,short,11/10/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2019_Park_Ridge_Open_complete.pdf,legacy
2018-2019,Midwest,Franklin Park Barrel Buster,2018,2018 Franklin Park Barrel Buster,2018 Franklin Park Barrel Buster,short,11/11/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2018_Franklin_Park_Barrel_Buster_complete.pdf,legacy
2018-2019,Midwest,I-94 Sprints,2019,I-94 Sprints,I-94 Sprints,inline,11/17/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/I_94_Overall.pdf,legacy
2018-2019,NEST,Bay State Championships,2018,2018 Bay State Championships & NEST #2,2018 Bay State Championships & NEST #2,short,11/17/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2018_Bay_State_Championships.pdf,llm
2018-2019,Heartland,Ohio Invitational,2018,2018 Jeff Golz Memorial  Ohio Invitational & Heartland #3,2018 Jeff Golz Memorial  Ohio Invitational & Heartland #3,short,12/1/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2019_Jeff_Golz_complete.pdf,llm
2018-2019,Midwest,Capital City Championships,2018,2018 Capital City Championships,2018 Capital City Championships,short,12/1/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2018_Jefferson_City_Complete.pdf,legacy
2018-2019,West Coast,Santa Claus Championships,2018,2018 Santa Claus Championships,2018 Santa Claus Championships,short,12/6/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2018_Santa_Claus_Championships_-_Final_Results.pdf,llm
2018-2019,Midwest,Central Wisconsin Open,2019,Central Wisconsin Open,Central Wisconsin Open,short,12/15/2018,/home/sunli/skater_tracker/data/pdfs/2018-2019/2018_Central_Wisconsin_Open_combined.pdf,legacy
2018-2019,NEST,January Thaw,2019,2019 January Thaw & NEST #3,2019 January Thaw & NEST #3,short,1/5/2019,/home/sunli/skater_tracker/data/pdfs/2018-2019/2019_January_Thaw_and_NEST_3_complete.pdf,llm
2018-2019,Midwest,WSA Gold Cup,2019,2019 Gold Cup,2019 Gold Cup,short,1/6/2019,/home/sunli/skater_tracker/data/pdfs/2018-2019/2019_Gold_Cup_Protocol-Overall_-_Combined.pdf,llm
2018-2019,Midwest,Winter Challenge,2019,2019 Winter Challenge Short Track,2019 Winter Challenge Short Track,short,1/6/2019,/home/sunli/skater_tracker/data/pdfs/2018-2019/2019_WinterChallengeOverall_complete.pdf,legacy
2018-2019,National,US Championships,2019,2019 US Championships Short Track & AmCup 2,2019 US Championships Short Track & AmCup 2,short,1/6/2019,/home/sunli/skater_tracker/data/pdfs/2018-2019/2019_US_ST_Championship_complete.pdf,legacy
2018-2019,International,International Children Winter Games,2019,2019 International Children's Winter Games,2019 International Children's Winter Games,short,1/8/2019,/home/sunli/skater_tracker/data/pdfs/2018-2019/2019_Int_Childrens_Games.pdf,llm
2018-2019,Midwest,Gateway Championships,2019,50th Gateway Championships,50th Gateway Championships,short,1/13/2019,/home/sunli/skater_tracker/data/pdfs/2018-2019/2019_Gateway_Championships_complete.pdf,llm
2018-2019,National,US Junior Championships,2019,2019 US Junior Championships Short Track,2019 US Junior Championships Short Track,long,1/18/2019,/home/sunli/skater_tracker/data/pdfs/2018-2019/2019_US_Jun_Championships_STAmCup_3_complete.pdf,llm
