series,event_group,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026,total,parse
National,AmCup / World Cup,2,2,2,1,1,,,,8,yes
NEST,Bay State Championships,1,1,,1,1,1,1,1,7,yes
Heartland,Buffalo Championships,1,1,,1,1,1,1,1,7,yes
Midwest,Chicago Silver Skates,1,1,,1,1,1,1,1,7,yes
West Coast,Desert Classic,1,1,,1,1,1,1,1,7,yes
Heartland,Great Lakes,1,1,,1,1,1,1,1,7,yes
Heartland,Land of Lincoln,1,1,,1,1,1,1,1,7,yes
NEST,MASA Championships,1,1,,1,1,1,1,1,7,yes
Midwest,Northbrook Open,1,1,,1,1,1,1,1,7,yes
Midwest,Park Ridge Open,1,1,,1,1,1,1,1,7,yes
NEST,Saratoga Cup,1,1,,1,1,1,1,1,7,yes
Midwest,St. Louis Silver Skates,,1,1,1,1,1,1,1,7,yes
National,US Junior Championships,,1,1,1,1,1,1,1,7,yes
National,Age Group Nationals,1,,,1,1,1,1,1,6,yes
West Coast,California Championships,4,1,,,,,,1,6,yes
Heartland,Empire State Games,1,1,,,1,1,1,1,6,yes
Midwest,Franklin Park Barrel Buster,1,1,,1,,1,1,1,6,yes
Midwest,Gateway Championships,1,,1,1,1,,1,1,6,yes
NEST,January Thaw,1,1,,,1,1,1,1,6,yes
NEST,Presidential Cup,1,1,,,1,1,1,1,6,yes
Midwest,Capital City Championships,1,1,,,,1,1,1,5,yes
Heartland,Ohio Invitational,1,1,,,1,,1,1,5,yes
Heartland,Ohio State Meet,1,1,,,1,,1,1,5,yes
West Coast,Utah Olympic Oval Challenge,,,,,1,,2,2,5,yes
National,US Championships,1,,,,,1,1,1,4,yes
Midwest,Michigan State Meet,,,,1,1,,1,,3,No
Northwest,Pacific NW Open,,,,,1,1,1,,3,No
Northeast,Robby Kaufman Challenge,,,,,,1,1,1,3,No
Northwest,Washington State Championships,,,,,1,1,1,,3,No
West Coast,Western Championships,,1,,,1,,1,,3,No
Heartland,Badger International,,,,,,,1,1,2,No
Heartland,Rock 'n' Roll Invitational,,,,,,1,1,,2,No
West Coast,Santa Claus Championships,1,1,,,,,,,2,No
Midwest,Winter Challenge,1,,,,,,,1,2,No
Northeast,Adirondack Championships,,,,,,1,,,1,No
Midwest,Burpee Pinnacle,,,,,1,,,,1,No
Midwest,Central Wisconsin Open,1,,,,,,,,1,No
Heartland,Cheese Cup,1,,,,,,,,1,No
West Coast,Holiday ST Invitational,,,,,1,,,,1,No
Midwest,I-94 Sprints,,1,,,,,,,1,No
International,International Children Winter Games,1,,,,,,,,1,No
Other,Interscholastic Challenge,,,,,,,,1,1,No
West Coast,Santa Clarita Sprints,1,,,,,,,,1,No
Other,Sprint Cup,,,,,,,,1,1,No
Other,Thanksgiving Championships,1,,,,,,,,1,No
Other,Toyota ST Invitational,,,,1,,,,,1,No
Other,Turkey Trot,,,,,,,1,,1,No
National,US Olympic Team Trials,,,,1,,,,,1,No
Midwest,WSA Gold Cup,1,,,,,,,,1,No
,Western Championships,,,,,,,,1,1,No
,TOTAL,34,25,5,19,27,24,32,31,197,
